"user_id","download_id","ts","rev","source_app","server"
123456,2277138,"2023-03-25 07:26:41",0,"app1","user@host3"
234567,9400696,"2022-01-31 09:50:04",0,"app1","user@host1"
345678,34343955,"2023-11-16 13:43:18",1,"app2","user@host2"
123456,2571099,"2022-06-19 02:03:19",0,"app4","user@host1"
567890,43726887,"2024-09-18 12:12:56",1,"app1","user@host1"
345123,282392405,"2024-09-13 10:07:32",0,"app2","user@host1"
987333,282099767,"2024-04-19 07:20:16",0,"app3","user@host2"
123456,6003932,"2024-08-26 01:02:20",1,"app3","user@host1"
123456,6230041,"2024-02-28 20:38:00",0,"app1","user@host1"
987123,74415349,"2023-01-15 23:02:09",0,"app1","user@host3"